Setup done!
t289627, T42.2500000000, u2.0000000000
t290627, T42.2500000000, u2.0000000000
t291627, T42.2500000000, u2.0000000000
t292627, T42.5000000000, u2.0000000000
t293627, T42.5000000000, u2.0000000000
t294627, T42.5000000000, u2.0000000000
t295627, T42.5000000000, u2.0000000000
t296627, T42.5000000000, u2.0000000000
t297627, T42.5000000000, u2.0000000000
t298627, T42.5000000000, u2.0000000000
t299627, T42.5000000000, u2.0000000000
t300627, T42.5000000000, u2.0000000000
t301627, T42.7500000000, u2.0000000000
t302627, T42.7500000000, u2.0000000000
t303627, T42.7500000000, u2.0000000000
t304627, T42.7500000000, u2.0000000000
t305627, T42.7500000000, u2.0000000000
t306627, T42.7500000000, u2.0000000000
t307627, T42.7500000000, u2.0000000000
t308627, T42.7500000000, u2.0000000000
t309627, T43.0000000000, u2.0000000000
t310627, T43.0000000000, u2.0000000000
t311627, T43.0000000000, u2.0000000000
t312627, T43.0000000000, u2.0000000000
t313627, T43.0000000000, u2.0000000000
t314627, T43.0000000000, u2.0000000000
t315627, T43.0000000000, u2.0000000000
t316627, T43.0000000000, u2.0000000000
t317627, T43.2500000000, u2.0000000000
t318627, T43.2500000000, u2.0000000000
t319627, T43.2500000000, u2.0000000000
t320627, T43.2500000000, u2.0000000000
t321627, T43.2500000000, u2.0000000000
t322627, T43.2500000000, u2.0000000000
t323627, T43.2500000000, u2.0000000000
t324627, T43.2500000000, u2.0000000000
t325627, T43.5000000000, u2.0000000000
t326627, T43.5000000000, u2.0000000000
t327627, T43.5000000000, u2.0000000000
t328627, T43.5000000000, u2.0000000000
t329627, T43.5000000000, u2.0000000000
t330627, T43.5000000000, u2.0000000000
t331627, T43.5000000000, u2.0000000000
t332627, T43.5000000000, u2.0000000000
t333627, T43.5000000000, u2.0000000000
t334627, T43.7500000000, u2.0000000000
t335627, T43.7500000000, u2.0000000000
t336627, T43.7500000000, u2.0000000000
t337627, T43.7500000000, u2.0000000000
t338627, T43.7500000000, u2.0000000000
t339627, T43.7500000000, u2.0000000000
t340627, T43.7500000000, u2.0000000000
t341627, T43.7500000000, u2.0000000000
t342627, T43.7500000000, u2.0000000000
t343627, T44.0000000000, u2.0000000000
t344627, T44.0000000000, u2.0000000000
t345627, T44.0000000000, u2.0000000000
t346627, T44.0000000000, u2.0000000000
t347627, T44.0000000000, u2.0000000000
t348627, T44.0000000000, u2.0000000000
t349627, T44.0000000000, u2.0000000000
t350627, T44.0000000000, u2.0000000000
t351627, T44.0000000000, u2.0000000000
t352627, T44.0000000000, u2.0000000000
t353627, T44.0000000000, u2.0000000000
t354627, T44.2500000000, u2.0000000000
t355627, T44.2500000000, u2.0000000000
t356627, T44.2500000000, u2.0000000000
t357627, T44.2500000000, u2.0000000000
t358627, T44.2500000000, u2.0000000000
t359627, T44.2500000000, u2.0000000000
t360627, T44.2500000000, u2.0000000000
t361627, T44.5000000000, u2.0000000000
t362627, T44.5000000000, u2.0000000000
t363627, T44.5000000000, u2.0000000000
t364627, T44.5000000000, u2.0000000000
t365627, T44.5000000000, u2.0000000000
t366627, T44.5000000000, u2.0000000000
t367627, T44.5000000000, u2.0000000000
t368627, T44.5000000000, u2.0000000000
t369627, T44.5000000000, u2.0000000000
t370627, T44.5000000000, u2.0000000000
t371627, T44.5000000000, u2.0000000000
t372627, T44.7500000000, u2.0000000000
t373627, T44.7500000000, u2.0000000000
t374627, T44.7500000000, u2.0000000000
t375627, T44.7500000000, u2.0000000000
t376627, T44.7500000000, u2.0000000000
t377627, T44.7500000000, u2.0000000000
t378627, T44.7500000000, u2.0000000000
t379627, T44.7500000000, u2.0000000000
t380627, T44.7500000000, u2.0000000000
t381627, T44.7500000000, u2.0000000000
t382627, T45.0000000000, u2.0000000000
t383627, T45.0000000000, u2.0000000000
t384627, T45.0000000000, u2.0000000000
t385627, T45.0000000000, u2.0000000000
t386627, T45.0000000000, u2.0000000000
t387627, T45.0000000000, u2.0000000000
t388627, T45.0000000000, u2.0000000000
t389627, T45.0000000000, u2.0000000000
t390627, T45.0000000000, u2.0000000000
t391627, T45.0000000000, u2.0000000000
t392627, T45.0000000000, u2.0000000000
t393627, T45.2500000000, u2.0000000000
t394627, T45.2500000000, u2.0000000000
t395627, T45.2500000000, u2.0000000000
t396627, T45.2500000000, u2.0000000000
t397627, T45.2500000000, u2.0000000000
t398627, T45.2500000000, u2.0000000000
t399627, T45.2500000000, u2.0000000000
t400627, T45.2500000000, u2.0000000000
t401627, T45.2500000000, u2.0000000000
t402627, T45.2500000000, u2.0000000000
t403627, T45.2500000000, u2.0000000000
t404627, T45.5000000000, u2.0000000000
t405627, T45.5000000000, u2.0000000000
t406627, T45.5000000000, u2.0000000000
t407627, T45.5000000000, u2.0000000000
t408627, T45.5000000000, u2.0000000000
t409627, T45.5000000000, u2.0000000000
t410627, T45.5000000000, u2.0000000000
t411627, T45.5000000000, u2.0000000000
t412627, T45.5000000000, u2.0000000000
t413627, T45.5000000000, u2.0000000000
t414627, T45.5000000000, u2.0000000000
t415627, T45.5000000000, u2.0000000000
t416627, T45.7500000000, u2.0000000000
t417627, T45.7500000000, u2.0000000000
t418627, T45.7500000000, u2.0000000000
t419627, T45.7500000000, u2.0000000000
t420627, T45.7500000000, u2.0000000000
t421627, T45.7500000000, u2.0000000000
t422627, T45.7500000000, u2.0000000000
